500	0.02236	0.031712
1000	0.025024	0.033056
1500	0.02912	0.03856
2000	0.031744	0.046528
2500	0.034496	0.050656
3000	0.051744	0.057248
3500	0.05312	0.08384
4000	0.058336	0.088032
4500	0.06112	0.090752
5000	0.070464	0.09344
10000	0.157216	0.2016
15000	0.267776	0.314752
20000	0.430016	0.470944
25000	0.626816	0.6256
30000	0.889664	0.780896
35000	1.14614	0.95184
40000	1.4072	1.13421
45000	1.67843	1.32189
50000	1.99066	1.52813
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
